index,start,end,filename,model,description,url
1,00:00,00:02,001_00-00_00-02.png,nano_banana_pro,"Man crouched at a chalk starting line, staring at a far checkered finish-line banner reading '$1,000,000'.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230549_bc41f039-4a44-4165-ab04-defb2e08eb26.png
2,00:02,00:04,002_00-02_00-04.png,nano_banana_pro,A big hand offers running shoes with a dollar-sign price tag; the man reaches as dollar bills float.,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230552_9539efe6-39c4-434e-84b8-0f75fb6ffeb3.png
3,00:04,00:06,003_00-04_00-06.png,nano_banana_pro,"The man lounging in a beach chair with sunglasses and a drink, totally relaxed.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230554_b461e5b0-b709-4129-9c87-5e4f59771c84.png
4,00:06,00:08,004_00-06_00-08.png,nano_banana_pro,"Wide shot: the man relaxing carefree while a far '$1,000,000' finish line stands uncrossed with a black X.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230557_a3e20dbf-0930-434a-9453-34c55f3eeadd.png
5,00:08,00:11,005_00-08_00-11.png,nano_banana_pro,"The man scratching his head, puzzled, '$1,000,000?' and 'WHERE FROM?' floating around him.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230600_079c0c9b-ec22-4105-b720-c2d53234b745.png
6,00:11,00:13,006_00-11_00-13.png,nano_banana_pro,The man pointing at a boxy TV labeled 'FINANCIAL NEWS' blaring out dollar numbers.,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230603_76ec549f-43bf-4308-8fa6-f7a7f3b8b852.png
7,00:13,00:15,007_00-13_00-15.png,nano_banana,A megaphone blasting huge wobbly numbers '$1.5M' and '$2M'.,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230605_fe96b46d-cbc8-4867-aa2f-22a4dfab7ce8.png
8,00:15,00:17,008_00-15_00-17.png,nano_banana,Huge stacked text '$1.5 MILLION' and '$2 MILLION' with a tiny scared face in the corner.,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230606_7a25a02c-ac85-45d8-bbda-5168f81eedb3.png
9,00:17,00:21,009_00-17_00-21.png,nano_banana_pro,"The man skeptical with one hand up beside a giant '$5,000,000?!'.",https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230620_50359148-d1bb-4bb0-b560-18ad9c8c57ba.png
10,00:21,00:22,010_00-21_00-22.png,nano_banana,A mouse cursor clicking a 'CLICK!' button next to a scary '$5M'.,https://d8j0ntlcm91z4.cloudfront.net/user_3EJ7eXPRDK8j3ZmKXW0B5KfoJTg/hf_20260614_230622_aa74e1ac-ecb3-447e-81b4-ef77d9f14e5f.png
